A0A010	5b02
A0A011	3vk5
A0A016UNP9	2md0
A0A023GPI4	2m6j
A0A023GPI5	4ccs
A0A023GPI8	4k21
A0A023GPJ0	4ntq
A0A023GUL3	5f5n
A0A023GUP0	2my5
A0A023GYI2	2nb6
A0A023GYK7	2nb5
A0A023H437	5fuk
A0A023PKG5	5thq
A0A023PRF3	5ojq
A0A023PTI7	5myu
A0A023R6W2	5j09
A0A023T3X2	4v2i
A0A023VSF1	5bp8
A0A024B7W1	5kqr
A0A024E2M1	4r8w
A0A024E3P0	4r8w
A0A024E3Q2	4mwj
A0A024FRL9	5wih
A0A024LAZ7	5lbj
A0A024R326	5lks
A0A024R9Y9	5lug
A0A024RAV5	2msc
A0A024UZE1	4z0e
A0A024V0B1	4zy0
A0A031WDA8	5eri
A0A037USE5	4n1v
A0A045GRS4	5v93
A0A045GT82	5v93
A0A045GXQ2	5v93
A0A045H4H6	5v93
A0A045H4J2	5v7q
A0A045H5T7	5v7q
A0A045H760	5v7q
A0A045HLX7	5v7q
A0A045HTN2	5v93
A0A045HU18	5v7q
A0A045HU86	5v7q
A0A045HUG3	5v93
A0A045HUU0	5v7q
A0A045I821	5v93
A0A045I839	5v93
A0A045IDB8	5v7q
A0A045IDD2	5v7q
A0A045IMI5	5v7q
A0A045IQ64	5v7q
A0A045IVA2	5v7q
A0A045IWV9	5v7q
A0A045IWX2	5v93
A0A045IXT2	5v93
A0A045IXU4	5v7q
A0A045J9H1	5v7q
A0A045J9M3	5v7q
A0A045JAK4	5v7q
A0A045JER3	5v93
A0A045JF49	5v93
A0A045JJU1	5v7q
A0A045JK28	5v7q
A0A045JKV0	5v93
A0A045JMN7	5v93
A0A045JVY9	5v93
A0A045JW21	5v93
A0A045JW48	5v7q
A0A045K0G1	5v7q
A0A045KJ85	5v7q
A0A045KKY9	5v7q
A0A059PIQ0	4xgy
A0A059Q5E8	5iqk
A0A059T4A1	5th1
A0A059T9N2	5v4u
A0A059TC02	4r1s
A0A059TFW7	2n1c
A0A059TXD8	5m99
A0A059U381	5ltn
A0A059U382	5t2t
A0A059U759	4pva
A0A059VAZ3	4ypm
A0A059WV44	5hmn
A0A059WYP6	5tui
A0A059WZ16	5f47
A0A059X981	5ht0
A0A059ZPG7	5vpu
A0A060GPP4	4pbe
A0A060GPQ0	4xag
A0A060GPQ5	4xd3
A0A060GSW0	4pcn
A0A060GSW5	4xd5
A0A060GSX0	4xd4
A0A060GTM0	4pbf
A0A060GTM7	4xay
A0A060GYS1	4pcp
A0A060GYS7	4xaz
A0A060GZX0	4xaf
A0A060GZX7	4xd6
A0A060P168	4yor
A0A060VDE2	5hl8
A0A060VH39	4wgh
A0A060Y6X8	5f1s
A0A060ZAA1	5unk
A0A061BSU4	5jsz
A0A062WLD9	5jj5
A0A063X4U8	4ycb
A0A067E666	5mmq
A0A067HWN0	4wxt
A0A067XG63	4brz
A0A067XG64	4c1o
A0A067XG66	4c6h
A0A067XG67	4l0k
A0A067XG68	4l1e
A0A067XG69	4l1e
A0A067XG70	4l2j
A0A067XG71	4l8q
